id,left,top,right,bottom,bus
3547216,1100314.641747835557908,1764887.256700000027195,1100545.581855511525646,1764687.256700000027195,0
3547219,1100314.641747835557908,1764287.256700000027195,1100545.581855511525646,1764087.256700000027195,0
3547231,1100314.641747835557908,1761887.256700000027195,1100545.581855511525646,1761687.256700000027195,6
3547230,1100314.641747835557908,1762087.256700000027195,1100545.581855511525646,1761887.256700000027195,0
3547224,1100314.641747835557908,1763287.256700000027195,1100545.581855511525646,1763087.256700000027195,4
3547205,1100314.641747835557908,1767087.256700000027195,1100545.581855511525646,1766887.256700000027195,0
3547204,1100314.641747835557908,1767287.256700000027195,1100545.581855511525646,1767087.256700000027195,4
3547203,1100314.641747835557908,1767487.256700000027195,1100545.581855511525646,1767287.256700000027195,2
3547202,1100314.641747835557908,1767687.256700000027195,1100545.581855511525646,1767487.256700000027195,0
3547213,1100314.641747835557908,1765487.256700000027195,1100545.581855511525646,1765287.256700000027195,0
3547212,1100314.641747835557908,1765687.256700000027195,1100545.581855511525646,1765487.256700000027195,2
3547214,1100314.641747835557908,1765287.256700000027195,1100545.581855511525646,1765087.256700000027195,0
3547211,1100314.641747835557908,1765887.256700000027195,1100545.581855511525646,1765687.256700000027195,2
1974903,943217.633501338306814,1679987.256700000027195,943448.573609014158137,1679787.256700000027195,0
1974898,943217.633501338306814,1680987.256700000027195,943448.573609014158137,1680787.256700000027195,2
1974911,943217.633501338306814,1678387.256700000027195,943448.573609014158137,1678187.256700000027195,2
1974881,943217.633501338306814,1684387.256700000027195,943448.573609014158137,1684187.256700000027195,2
1974882,943217.633501338306814,1684187.256700000027195,943448.573609014158137,1683987.256700000027195,2
1974895,943217.633501338306814,1681587.256700000027195,943448.573609014158137,1681387.256700000027195,0
1974889,943217.633501338306814,1682787.256700000027195,943448.573609014158137,1682587.256700000027195,2
1974869,943217.633501338306814,1686787.256700000027195,943448.573609014158137,1686587.256700000027195,0
1974871,943217.633501338306814,1686387.256700000027195,943448.573609014158137,1686187.256700000027195,0
1974877,943217.633501338306814,1685187.256700000027195,943448.573609014158137,1684987.256700000027195,0
1974879,943217.633501338306814,1684787.256700000027195,943448.573609014158137,1684587.256700000027195,0
1974878,943217.633501338306814,1684987.256700000027195,943448.573609014158137,1684787.256700000027195,3
1974873,943217.633501338306814,1685987.256700000027195,943448.573609014158137,1685787.256700000027195,2
1974849,943217.633501338306814,1690787.256700000027195,943448.573609014158137,1690587.256700000027195,0
1974848,943217.633501338306814,1690987.256700000027195,943448.573609014158137,1690787.256700000027195,0
1974851,943217.633501338306814,1690387.256700000027195,943448.573609014158137,1690187.256700000027195,0
1974860,943217.633501338306814,1688587.256700000027195,943448.573609014158137,1688387.256700000027195,2
