사고번호,기온,강수량,풍속
2019012000100322,-1.4,0.0,2.9
2019012000100325,-1.4,0.0,2.9
2019012000100360,-2.4,0.0,3.2
2019012000100362,-2.4,0.0,3.2
2019012000100364,-2.4,0.0,3.2
2019012000100365,-2.4,0.0,3.2
2019012000100366,-2.4,0.0,3.2
2019012000100391,-3.2,0.0,2.5
2019012000100394,-3.2,0.0,2.5
2019012000100395,-3.2,0.0,2.5
2019012000100398,-3.2,0.0,2.5
2019012000100401,-3.2,0.0,2.5
2019012000100422,-4.0,0.0,4.0
2019012000100441,-4.8,0.0,1.8
2019012000100455,-5.4,0.0,1.8
2019012100100022,-5.5,0.0,1.6
2019012100100023,-5.5,0.0,1.6
2019012100100041,-6.4,0.0,1.0
2019012100100125,-5.2,0.0,0.9
2019012100100163,-3.2,0.0,0.9
2019012100100191,-1.4,0.0,0.6
2019012100100217,0.4,0.0,1.9
2019012100100241,0.2,0.0,2.0
2019012100100270,1.9,0.0,2.7
2019012100100273,1.9,0.0,2.7
2019012100100354,3.8,0.0,3.5
2019012100100355,3.8,0.0,3.5
2019012100100383,3.4,0.0,2.2
2019012100100387,3.4,0.0,2.2
2019012100100437,2.7,0.0,1.8
2019012100100478,2.3,0.0,2.4
2019012100100479,2.3,0.0,2.4
2019012100100507,2.0,0.0,3.3
2019012100100534,1.3,0.0,1.5
2019012200100032,-0.8,0.0,0.9
2019012200100033,-0.8,0.0,0.9
2019012200100048,-1.2,0.0,1.3
2019012200100071,-2.3,0.0,0.2
2019012200100146,-3.2,0.0,0.9
2019012200100149,-3.2,0.0,0.9
2019012200100182,-2.4,0.0,1.5
2019012200100210,-0.2,0.0,1.1
2019012200100272,5.9,0.0,2.1
2019012200100296,6.4,0.0,3.9
2019012200100297,6.4,0.0,3.9
2019012200100299,6.4,0.0,3.9
2019012200100549,2.8,0.0,1.8
2019012200100552,2.8,0.0,1.8
2019012200100569,2.4,0.0,1.4
2019012200100570,2.4,0.0,1.4
2019012200100594,2.0,0.0,1.6
2019012200100597,2.0,0.0,1.6
2019012300100024,1.6,0.0,2.2
2019012300100034,1.0,0.0,0.5
2019012300100122,-0.6,0.0,1.0
2019012300100163,-0.1,0.0,0.8
2019012300100165,-0.1,0.0,0.8
2019012300100168,-0.1,0.0,0.8
2019012300100221,4.1,0.0,2.7
2019012300100244,4.8,0.0,3.9
2019012300100246,4.8,0.0,3.9
2019012300100249,4.8,0.0,3.9
2019012300100296,6.7,0.0,3.7
2019012300100350,6.8,0.0,3.2
2019012300100374,5.8,0.0,2.8
2019012300100402,4.0,0.0,3.7
2019012300100445,2.9,0.0,2.7
2019012300100451,2.9,0.0,2.7
2019012300100484,1.9,0.0,2.3
2019012300100503,1.0,0.0,3.0
2019012300100539,0.4,0.0,2.7
2019012400100088,-4.5,0.0,1.7
2019012400100109,-4.5,0.0,1.7
2019012400100143,-3.8,0.0,0.4
2019012400100201,2.2,0.0,1.8
2019012400100221,4.0,0.0,1.7
2019012400100228,4.0,0.0,1.7
2019012400100251,5.4,0.0,2.9
2019012400100321,6.2,0.0,3.0
2019012400100323,6.2,0.0,3.0
2019012400100384,4.7,0.0,2.9
2019012400100423,2.8,0.0,1.5
2019012400100467,1.7,0.0,1.3
2019012400100468,1.7,0.0,1.3
2019012400100500,0.5,0.0,1.8
2019012400100530,-0.2,0.0,1.8
2019012400100582,-1.2,0.0,1.3
2019012500100022,-1.4,0.0,1.2
2019012500100040,-1.6,0.0,1.3
2019012500100053,-1.8,0.0,0.9
2019012500100063,-1.9,0.0,1.9
2019012500100088,-3.4,0.0,1.5
2019012500100102,-3.6,0.0,1.5
2019012500100135,-3.1,0.0,1.5
2019012500100182,0.6,0.0,3.0
2019012500100185,0.6,0.0,3.0
2019012500100319,2.4,0.0,3.8
2019012500100351,1.6,0.0,3.7
2019012500100391,0.9,0.0,3.8
2019012500100396,0.9,0.0,3.8
2019012500100430,-0.5,0.0,2.3
2019012500100432,-0.5,0.0,2.3
2019012500100487,-1.2,0.0,2.5
2019012500100488,-1.2,0.0,2.5
2019012500100555,-2.2,0.0,3.0
2019012500100556,-2.2,0.0,3.0
2019012500100580,-3.0,0.0,1.5
2019012500100584,-3.0,0.0,1.5
2019012600100148,-4.6,0.0,2.1
2019012600100210,-0.2,0.0,2.8
2019012600100284,0.4,0.0,2.7
2019012600100321,1.7,0.0,1.6
2019012600100322,1.7,0.0,1.6
2019012600100324,1.7,0.0,1.6
2019012600100351,1.3,0.0,3.4
2019012600100353,1.3,0.0,3.4
2019012600100389,1.5,0.0,2.7
2019012600100419,0.0,0.0,2.7
2019012600100421,0.0,0.0,2.7
2019012600100500,-1.2,0.0,1.6
2019012600100522,-1.6,0.0,2.8
2019012600100527,-1.6,0.0,2.8
2019012600100560,-2.2,0.0,3.3
2019012700100142,3.2,0.0,2.7
2019012700100169,4.2,0.0,2.9
2019012700100171,4.2,0.0,2.9
2019012700100196,4.5,0.0,2.9
2019012700100198,4.5,0.0,2.9
2019012700100251,4.0,0.0,2.5
2019012700100350,2.6,0.0,2.8
2019012700100389,2.5,0.0,1.9
2019012800100051,2.8,0.0,2.4
2019012800100099,2.0,0.0,2.7
2019012800100101,2.0,0.0,2.7
2019012800100188,0.4,0.0,3.0
2019012800100282,1.5,0.0,5.2
2019012800100285,1.5,0.0,5.2
2019012800100419,4.2,0.0,3.8
2019012800100463,3.8,0.0,4.4
2019012800100464,3.8,0.0,4.4
2019012800100525,1.6,0.0,3.3
2019012800100526,1.6,0.0,3.3
2019012800100600,-0.2,0.0,5.4
2019012800100602,-0.2,0.0,5.4
2019012800100625,-1.1,0.0,2.9
2019012800100649,-1.7,0.0,1.2
2019012800100651,-1.7,0.0,1.2
2019012800100670,-1.8,0.0,2.8
2019012900100041,-4.0,0.0,1.8
2019012900100051,-4.6,0.0,1.2
2019012900100070,-5.4,0.0,1.5
2019012900100072,-5.4,0.0,1.5
2019012900100175,1.5,0.0,0.9
2019012900100197,3.5,0.0,1.4
2019012900100198,3.5,0.0,1.4
2019012900100200,3.5,0.0,1.4
2019012900100230,4.1,0.0,2.1
2019012900100251,6.1,0.0,1.4
2019012900100287,6.6,0.0,1.6
2019012900100337,6.7,0.0,1.6
2019012900100426,2.8,0.0,2.6
2019012900100427,2.8,0.0,2.6
2019012900100432,2.8,0.0,2.6
2019012900100487,1.2,0.0,2.3
2019012900100522,0.4,0.0,1.3
2019012900100524,0.4,0.0,1.3
2019012900100576,-0.5,0.0,0.9
2019012900100577,-0.5,0.0,0.9
2019013000100023,-0.7,0.0,1.7
2019013000100030,-0.7,0.0,1.5
2019013000100055,-1.9,0.0,0.4
2019013000100116,-1.6,0.0,0.5
2019013000100117,-1.6,0.0,0.5
2019013000100148,0.8,0.0,0.5
2019013000100184,3.9,0.0,1.9
2019013000100213,4.3,0.0,2.3
2019013000100228,5.8,0.0,1.4
2019013000100229,5.8,0.0,1.4
2019013000100230,5.8,0.0,1.4
2019013000100232,5.8,0.0,1.4
2019013000100271,6.2,0.0,2.8
2019013000100274,6.2,0.0,2.8
2019013000100339,6.4,0.0,2.5
2019013000100405,4.0,0.0,2.2
2019013000100465,3.2,0.0,1.7
2019013000100467,3.2,0.0,1.7
2019013000100529,2.1,0.0,1.4
2019013000100530,2.1,0.0,1.4
2019013000100560,2.1,0.0,1.8
2019013100100034,1.3,0.0,3.1
2019013100100067,-0.7,0.0,3.3
2019013100100206,-1.7,0.0,2.9
2019013100100207,-1.7,0.0,2.9
2019013100100239,-1.7,0.0,3.3
2019013100100272,-1.4,0.0,2.7
2019013100100291,-0.6,0.0,2.5
2019013100100322,0.5,0.0,2.3
2019013100100323,0.5,0.0,2.3
2019013100100326,0.5,0.0,2.3
2019013100100363,-0.1,0.0,3.0
2019013100100366,-0.1,0.0,3.0
2019013100100428,-2.6,0.0,3.8
2019013100100433,-2.6,0.0,3.8
2019013100100483,-3.5,0.0,4.3
2019013100100524,-4.5,0.0,3.6
2019020100100125,-6.9,0.0,0.7
2019020100100189,-2.4,0.0,1.4
2019020100100222,-0.1,0.0,1.6
2019020100100252,1.1,0.0,3.6
2019020100100254,1.1,0.0,3.6
2019020100100290,2.4,0.0,4.0
2019020100100370,1.9,0.0,3.7
2019020100100371,1.9,0.0,3.7
2019020100100413,1.5,0.0,3.1
2019020100100419,1.5,0.0,3.1
2019020100100447,1.5,0.0,2.8
2019020100100501,1.2,0.0,2.0
2019020100100660,0.6,0.3,1.7
2019020100100661,0.6,0.3,1.7
2019020100100666,0.6,0.3,1.7
2019020100100715,-0.6,0.0,1.4
2019020200100044,-1.7,0.0,0.9
2019020200100093,-3.1,0.0,1.1
2019020200100229,1.5,0.0,1.5
2019020200100233,1.5,0.0,1.5
2019020200100294,3.7,0.0,1.1
2019020200100330,4.5,0.0,1.0
2019020200100333,4.5,0.0,1.0
2019020200100439,3.9,0.0,1.1
2019020200100440,3.9,0.0,1.1
2019020200100441,3.9,0.0,1.1
2019020200100482,3.4,0.0,0.9
2019020200100532,3.5,0.0,0.4
2019020200100534,3.5,0.0,0.4
2019020200100563,3.5,0.0,1.6
2019020300100037,3.5,0.0,1.6
2019020300100190,4.0,0.0,1.1
2019020300100236,4.5,0.0,0.5
2019020300100282,4.9,1.0,0.4
2019020300100311,4.7,0.0,1.1
2019020300100331,4.1,0.0,2.5
2019020300100355,3.9,1.0,2.1
2019020300100486,2.9,0.0,2.6
2019020300100487,2.9,0.0,2.6
2019020400100072,-2.0,0.0,1.1
2019020400100190,2.5,0.0,2.7
2019020400100228,2.5,0.0,1.7
2019020400100285,-0.3,0.0,2.3
2019020400100287,-0.3,0.0,2.3
2019020400100329,-1.3,0.0,1.1
2019020400100330,-1.3,0.0,1.1
2019020400100352,-1.7,0.0,0.6
2019020500100019,-2.1,0.0,0.1
2019020500100130,7.0,0.0,1.5
2019020500100133,7.0,0.0,1.5
2019020500100165,9.3,0.0,1.1
2019020500100212,9.2,0.0,2.2
2019020500100249,7.6,0.0,0.7
2019020500100274,6.0,0.0,0.0
2019020500100305,4.8,0.0,0.6
2019020500100351,2.7,0.0,1.4
2019020600100013,2.0,0.0,0.3
2019020600100096,4.9,0.0,0.8
2019020600100178,9.2,0.0,2.6
2019020600100201,9.1,0.0,2.1
2019020600100203,9.1,0.0,2.1
2019020600100204,9.1,0.0,2.1
2019020600100242,8.1,0.0,1.6
2019020600100274,7.9,0.0,1.8
2019020600100275,7.9,0.0,1.8
2019020600100278,7.9,0.0,1.8
2019020600100299,7.5,0.0,1.7
2019020600100313,7.0,0.0,2.3
2019020700100021,6.3,0.0,1.6
2019020700100052,4.5,0.0,2.7
2019020700100054,4.5,0.0,2.7
2019020700100063,3.3,0.0,3.1
2019020700100077,0.8,0.5,3.6
2019020700100110,-0.8,0.0,4.3
2019020700100220,-1.2,0.0,4.6
2019020700100263,-0.7,0.0,4.5
2019020700100294,-1.2,0.0,4.3
2019020700100399,-3.9,0.0,3.2
2019020700100405,-3.9,0.0,3.2
2019020700100445,-4.8,0.0,3.8
2019020700100447,-4.8,0.0,3.8
2019020700100471,-5.5,0.0,3.8
2019020700100474,-5.5,0.0,3.8
2019020700100475,-5.5,0.0,3.8
2019020700100495,-6.3,0.0,3.3
2019020800100027,-8.8,0.0,1.7
2019020800100045,-9.6,0.0,2.9
2019020800100071,-10.0,0.0,2.0
2019020800100112,-9.5,0.0,1.1
2019020800100113,-9.5,0.0,1.1
2019020800100135,-7.1,0.0,1.5
2019020800100182,-3.9,0.0,2.0
2019020800100183,-3.9,0.0,2.0
2019020800100185,-3.9,0.0,2.0
2019020800100208,-2.6,0.0,1.7
2019020800100277,-1.9,0.0,2.8
2019020800100338,-2.5,0.0,2.7
2019020800100403,-4.7,0.0,3.6
2019020800100405,-4.7,0.0,3.6
2019020800100427,-5.0,0.0,1.4
2019020900100057,-6.2,0.0,3.1
2019020900100081,-7.6,0.0,3.1
2019020900100120,-8.0,0.0,1.4
2019020900100140,-6.4,0.0,3.2
2019020900100153,-5.1,0.0,3.3
2019020900100241,-2.5,0.0,3.3
2019020900100243,-2.5,0.0,3.3
2019020900100245,-2.5,0.0,3.3
2019020900100292,-2.4,0.0,3.1
2019020900100311,-2.7,0.0,3.0
2019020900100313,-2.7,0.0,3.0
2019020900100314,-2.7,0.0,3.0
2019020900100408,-5.0,0.0,2.5
2019020900100428,-5.4,0.0,3.7
2019021000100041,-7.5,0.0,0.5
2019021000100070,-8.6,0.0,1.1
2019021000100088,-8.9,0.0,0.6
2019021000100090,-8.9,0.0,0.6
2019021000100114,-5.8,0.0,1.2
2019021000100139,-2.4,0.0,1.6
2019021000100152,-2.3,0.0,2.2
2019021000100190,-2.0,0.0,1.8
2019021000100228,-2.6,0.0,2.7
2019021000100230,-2.6,0.0,2.7
2019021000100251,-3.0,0.0,1.4
2019021000100279,-3.4,0.0,3.2
2019021000100304,-3.6,0.0,2.0
2019021000100321,-3.6,0.0,2.5
2019021000100323,-3.6,0.0,2.5
2019021000100346,-4.0,0.0,2.8
2019021100100023,-4.2,0.0,2.2
2019021100100087,-7.4,0.0,1.0
2019021100100124,-6.0,0.0,2.0
2019021100100212,-1.0,0.0,3.2
2019021100100213,-1.0,0.0,3.2
2019021100100238,-0.3,0.0,3.8
2019021100100263,1.0,0.0,3.1
2019021100100293,1.2,0.0,2.7
2019021100100295,1.2,0.0,2.7
2019021100100356,1.3,0.0,3.1
2019021100100386,0.0,0.0,3.0
2019021100100387,0.0,0.0,3.0
2019021100100426,-0.8,0.0,2.0
2019021100100428,-0.8,0.0,2.0
2019021100100467,-1.3,0.0,2.3
2019021100100500,-1.9,0.0,1.5
2019021100100521,-2.2,0.0,2.1
2019021100100524,-2.2,0.0,2.1
2019021200100020,-3.5,0.0,0.4
2019021200100037,-4.0,0.0,0.1
2019021200100041,-4.0,0.0,0.7
2019021200100126,-2.3,0.0,1.5
2019021200100200,0.7,0.0,3.0
2019021200100201,0.7,0.0,3.0
2019021200100227,1.5,0.0,2.4
2019021200100252,2.2,0.0,2.9
2019021200100253,2.2,0.0,2.9
2019021200100286,3.0,0.0,2.7
2019021200100362,2.9,0.0,2.1
2019021200100363,2.9,0.0,2.1
2019021200100365,2.9,0.0,2.1
2019021200100396,1.5,0.0,2.3
2019021200100438,0.7,0.0,1.5
2019021200100440,0.7,0.0,1.5
2019021200100483,-0.2,0.0,3.2
2019021200100506,-0.9,0.0,1.6
2019021300100076,-5.2,0.0,2.0
2019021300100091,-5.6,0.0,1.2
2019021300100141,-4.5,0.0,3.1
2019021300100143,-4.5,0.0,3.1
2019021300100170,-2.7,0.0,1.1
2019021300100172,-2.7,0.0,1.1
2019021300100190,-1.1,0.0,1.7
2019021300100191,-1.1,0.0,1.7
2019021300100240,0.4,0.0,3.9
